"ROLE_MBR_ID","ROLE_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR"
"KC10094","KC111","quickstart","P","AAB85031235E1B41E040DC0A1F8A7174","1"
"KC10095","KC111","KC10000000002","P","AAB8503123601B41E040DC0A1F8A7174","1"
"KC10096","KC111","KC10000000002","P","AAB8503123621B41E040DC0A1F8A7174","1"
"KC10097","KC111","KC10000000002","P","AAB8503123641B41E040DC0A1F8A7174","1"
"KC10098","KC111","KC10000000002","P","AAB8503123661B41E040DC0A1F8A7174","1"
"KC10099","KC111","KC10000000004","P","AAB8503123681B41E040DC0A1F8A7174","1"
"KC10100","KC111","KC10000000005","P","AAB85031236A1B41E040DC0A1F8A7174","1"
"KC10101","KC111","KC10000000006","P","AAB85031236C1B41E040DC0A1F8A7174","1"
"KC10102","KC111","KC10000000006","P","AAB85031236E1B41E040DC0A1F8A7174","1"
"KC10103","KC111","KC10000000006","P","AAB8503123701B41E040DC0A1F8A7174","1"
"KC10104","KC111","KC10000000007","P","AAB8503123721B41E040DC0A1F8A7174","1"
"KC10105","KC111","KC10000000008","P","AAB8503123741B41E040DC0A1F8A7174","1"
"KC10106","KC112","KC10000000002","P","AAB8503123761B41E040DC0A1F8A7174","1"
"KC10107","KC115","quickstart","P","AAB8503123791B41E040DC0A1F8A7174","1"
"KC10108","KC116","KC10000000005","P","AAB85031237C1B41E040DC0A1F8A7174","1"
"KC10109","KC117","quickstart","P","AAB85031237F1B41E040DC0A1F8A7174","1"
"KC10110","KC118","KC10000000043","P","AAB8503123821B41E040DC0A1F8A7174","1"
"KC10111","KC118","KC10000000064","P","AAB8503123851B41E040DC0A1F8A7174","1"
"KC10112","KC122","KC10000000062","P","AAB8503123881B41E040DC0A1F8A7174","1"
"KC10113","KC123","KC10000000061","P","AAB85031238B1B41E040DC0A1F8A7174","1"
"KC10114","KC125","quickstart","P","AAB85031238E1B41E040DC0A1F8A7174","1"
"KC10115","KC126","quickstart","P","AAB8503123911B41E040DC0A1F8A7174","1"
"KC10116","KC126","quickstart","P","AAB8503123941B41E040DC0A1F8A7174","1"
"KC10117","KC127","KC10000000002","P","AAB8503123971B41E040DC0A1F8A7174","1"
"KC10118","KC127","KC10000000117","P","AAB85031239A1B41E040DC0A1F8A7174","1"
"KC10119","KC128","quickstart","P","AAB85031239D1B41E040DC0A1F8A7174","1"
"KC10120","KC128","KC10000000112","P","AAB8503123A01B41E040DC0A1F8A7174","1"
"KC10121","KC128","KC10000000113","P","AAB8503123A31B41E040DC0A1F8A7174","1"
"KC10122","KC129","quickstart","P","AAB8503123A61B41E040DC0A1F8A7174","1"
"KC10123","KC129","KC10000000115","P","AAB8503123A91B41E040DC0A1F8A7174","1"
"KC10124","KC129","KC10000000116","P","AAB8503123AC1B41E040DC0A1F8A7174","1"
"KC10125","KC130","quickstart","P","AAB8503123AF1B41E040DC0A1F8A7174","1"
"KC10126","KC130","quickstart","P","AAB8503123B21B41E040DC0A1F8A7174","1"
"KC10127","KC130","quickstart","P","AAB8503123B51B41E040DC0A1F8A7174","1"
"KC10128","KC131","quickstart","P","AAB8503123B81B41E040DC0A1F8A7174","1"
"KC10129","KC131","KC10000000043","P","AAB8503123BB1B41E040DC0A1F8A7174","1"
"KC10130","KC134","KC10000000036","P","AAB8503123BE1B41E040DC0A1F8A7174","1"
"KC10131","KC135","KC10000000036","P","AAB8503123C01B41E040DC0A1F8A7174","1"
"KC10132","KC140","quickstart","P","AAB8503123C11B41E040DC0A1F8A7174","1"
"KC10133","KC140","KC10000000043","P","AAB8503123C41B41E040DC0A1F8A7174","1"
"KC10134","KC141","quickstart","P","AAB8503123C71B41E040DC0A1F8A7174","1"
"KC10135","KC141","KC10000000043","P","AAB8503123CA1B41E040DC0A1F8A7174","1"
"KC10136","KC149","KC10000000112","P","AAB8503123CD1B41E040DC0A1F8A7174","1"
"KC10137","KC149","KC10000000116","P","AAB8503123CE1B41E040DC0A1F8A7174","1"
"KC10138","KC154","quickstart","P","AAB8503123CF1B41E040DC0A1F8A7174","1"
"KC10139","KC155","quickstart","P","AAB8503123D21B41E040DC0A1F8A7174","1"
"KC10140","KC156","quickstart","P","AAB8503123E61B41E040DC0A1F8A7174","1"
"KC10141","KC156","KC10000000112","P","AAB8503123E91B41E040DC0A1F8A7174","1"
"KC10142","KC10000","KC10000000043","P","AAB8503123EC1B41E040DC0A1F8A7174","1"
"KC10143","KC10001","KC10000000043","P","AAB8503123ED1B41E040DC0A1F8A7174","1"
"KC1284","KC98","KC2001","G","AA3F29ECA97C77DAE040DC0A1F8A01CC","1"
"KC1287","KC98","KC2001","G","AA3F2D15E62FECD8E040DC0A1F8A01D8","1"
"KC1288","KC99","KC149","R","AA3F29ECA97E77DAE040DC0A1F8A01CC","1"
"KC1289","KC99","KC128","R","AA3F29ECA97D77DAE040DC0A1F8A01CC","1"
"KC1290","KC157","KC128","R","AAB8503123FE1B41E040DC0A1F8A7174","1"
"KC1291","KC157","KC131","R","AAB8503124011B41E040DC0A1F8A7174","1"
